bin,encoder_phase_counts,detrended_error_arcsec
1.250000000000000000e+02,4.096000000000000000e+04,1.555405173449479328e+01
1.260000000000000000e+02,4.128768000000000029e+04,1.518193679169228183e+01
1.270000000000000000e+02,4.161536000000000058e+04,1.529376351638916098e+01
1.280000000000000000e+02,4.194304000000000087e+04,1.533821867801111871e+01
1.290000000000000000e+02,4.227072000000000116e+04,1.476405660491294469e+01
1.300000000000000000e+02,4.259840000000000146e+04,1.356018096821280672e+01
1.310000000000000000e+02,4.292608000000000175e+04,1.290847222208559408e+01
1.320000000000000000e+02,4.325376000000000204e+04,1.275415440244704435e+01
1.330000000000000000e+02,4.358144000000000233e+04,1.290937696209781649e+01
1.340000000000000000e+02,4.390912000000000262e+04,1.274267208954024788e+01
1.350000000000000000e+02,4.423680000000000291e+04,1.189864530703790813e+01
1.360000000000000000e+02,4.456448000000000320e+04,1.100511098493429785e+01
1.370000000000000000e+02,4.489216000000000349e+04,1.104388176448456882e+01
1.380000000000000000e+02,4.521984000000000378e+04,1.173713082834478705e+01
1.390000000000000000e+02,4.554752000000000407e+04,1.209241762721970481e+01
1.400000000000000000e+02,4.587520000000000437e+04,1.156584006254279196e+01
1.410000000000000000e+02,4.620287999999999738e+04,1.083118853787124891e+01
1.420000000000000000e+02,4.653055999999999767e+04,1.068790356440158185e+01
1.430000000000000000e+02,4.685823999999999796e+04,1.110366166518751818e+01
1.440000000000000000e+02,4.718591999999999825e+04,1.155345233803498850e+01
1.450000000000000000e+02,4.751359999999999854e+04,1.147948800770176803e+01
1.460000000000000000e+02,4.784127999999999884e+04,1.082281219379859039e+01
1.470000000000000000e+02,4.816895999999999913e+04,1.095257505560080524e+01
1.480000000000000000e+02,4.849663999999999942e+04,1.163071004801445696e+01
1.490000000000000000e+02,4.882431999999999971e+04,1.193151896318918936e+01
1.500000000000000000e+02,4.915200000000000000e+04,1.157190867768112419e+01
1.510000000000000000e+02,4.947968000000000029e+04,1.083694549184228428e+01
1.520000000000000000e+02,4.980736000000000058e+04,1.101132404286616229e+01
1.530000000000000000e+02,5.013504000000000087e+04,1.100121053734683763e+01
1.540000000000000000e+02,5.046272000000000116e+04,1.136101749691918172e+01
1.550000000000000000e+02,5.079040000000000146e+04,1.099367880254703600e+01
1.560000000000000000e+02,5.111808000000000175e+04,1.019937114206062923e+01
1.570000000000000000e+02,5.144576000000000204e+04,1.000433591494710761e+01
1.580000000000000000e+02,5.177344000000000233e+04,1.032046965814521222e+01
1.590000000000000000e+02,5.210112000000000262e+04,1.030196432831151121e+01
1.600000000000000000e+02,5.242880000000000291e+04,1.022197964459772201e+01
1.610000000000000000e+02,5.275648000000000320e+04,1.023380974434183877e+01
1.620000000000000000e+02,5.308416000000000349e+04,1.041481620822957410e+01
1.630000000000000000e+02,5.341184000000000378e+04,1.021954898719123328e+01
1.640000000000000000e+02,5.373952000000000407e+04,9.790401124079364692e+00
1.650000000000000000e+02,5.406720000000000437e+04,9.441517810584739934e+00
1.660000000000000000e+02,5.439488000000000466e+04,9.363293735100400639e+00
1.670000000000000000e+02,5.472255999999999767e+04,9.460346787184787942e+00
1.680000000000000000e+02,5.505023999999999796e+04,9.034816604165046172e+00
1.690000000000000000e+02,5.537791999999999825e+04,8.723956196913819738e+00
1.700000000000000000e+02,5.570559999999999854e+04,8.448720636456373612e+00
1.710000000000000000e+02,5.603327999999999884e+04,8.523510331142047036e+00
1.720000000000000000e+02,5.636095999999999913e+04,8.432227246121643205e+00
1.730000000000000000e+02,5.668863999999999942e+04,7.855080132333462473e+00
1.740000000000000000e+02,5.701631999999999971e+04,7.007450819286444421e+00
1.750000000000000000e+02,5.734400000000000000e+04,6.431095331712254115e+00
1.760000000000000000e+02,5.767168000000000029e+04,6.540733314824859868e+00
1.770000000000000000e+02,5.799936000000000058e+04,6.359913281180361366e+00
1.780000000000000000e+02,5.832704000000000087e+04,6.289331834391373555e+00
1.790000000000000000e+02,5.865472000000000116e+04,6.148489074699608814e+00
1.800000000000000000e+02,5.898240000000000146e+04,5.903980331345263899e+00
1.810000000000000000e+02,5.931008000000000175e+04,5.977467062151383459e+00
1.820000000000000000e+02,5.963776000000000204e+04,5.512985445779588822e+00
1.830000000000000000e+02,5.996544000000000233e+04,5.264563261481018053e+00
1.840000000000000000e+02,6.029312000000000262e+04,5.677866659189436227e+00
1.850000000000000000e+02,6.062080000000000291e+04,6.021687864352962549e+00
