bin,encoder_phase_counts,detrended_error_arcsec
3.160000000000000000e+02,1.035468800000000047e+05,3.227944169916385331e+00
3.170000000000000000e+02,1.038745599999999977e+05,3.464647579461035409e+00
3.180000000000000000e+02,1.042022400000000052e+05,3.573703946741096704e+00
3.190000000000000000e+02,1.045299199999999983e+05,3.058040076137474639e+00
3.200000000000000000e+02,1.048576000000000058e+05,2.110948973462731804e+00
3.210000000000000000e+02,1.051852799999999988e+05,1.446320584364583661e+00
3.220000000000000000e+02,1.055129600000000064e+05,1.938270752610348646e+00
3.230000000000000000e+02,1.058406399999999994e+05,2.731298089759769621e+00
3.240000000000000000e+02,1.061683200000000070e+05,2.612258530133334755e+00
3.250000000000000000e+02,1.064960000000000000e+05,1.994768695635150246e+00
3.260000000000000000e+02,1.068236800000000076e+05,1.625625361255848000e+00
3.270000000000000000e+02,1.071513600000000006e+05,2.240237275745320833e+00
3.280000000000000000e+02,1.074790400000000081e+05,3.451764405256295021e+00
3.290000000000000000e+02,1.078067200000000012e+05,3.756622494361688158e+00
3.300000000000000000e+02,1.081344000000000087e+05,3.341848386051950115e+00
3.310000000000000000e+02,1.084620800000000017e+05,3.049158334120146918e+00
3.320000000000000000e+02,1.087897600000000093e+05,3.237548554911632070e+00
3.330000000000000000e+02,1.091174400000000023e+05,3.955280443547685820e+00
3.340000000000000000e+02,1.094451199999999953e+05,4.048065899159058567e+00
3.350000000000000000e+02,1.097728000000000029e+05,3.383545196041853220e+00
3.360000000000000000e+02,1.101004799999999959e+05,2.545605840274919540e+00
3.370000000000000000e+02,1.104281600000000035e+05,2.159875769931527412e+00
3.380000000000000000e+02,1.107558399999999965e+05,2.463407590885354104e+00
3.390000000000000000e+02,1.110835200000000041e+05,2.983225084888809331e+00
3.400000000000000000e+02,1.114111999999999971e+05,2.439386356549887669e+00
3.410000000000000000e+02,1.117388800000000047e+05,1.730889366443975952e+00
3.420000000000000000e+02,1.120665599999999977e+05,1.982789893464289355e+00
3.430000000000000000e+02,1.123942400000000052e+05,2.396975353537888598e+00
3.440000000000000000e+02,1.127219199999999983e+05,3.306311353872467773e+00
3.450000000000000000e+02,1.130496000000000058e+05,3.306604548867015492e+00
3.460000000000000000e+02,1.133772799999999988e+05,2.873279629921584810e+00
3.470000000000000000e+02,1.137049600000000064e+05,2.972991993232707131e+00
3.480000000000000000e+02,1.140326399999999994e+05,3.218974731889932883e+00
3.490000000000000000e+02,1.143603200000000070e+05,3.583849434659509114e+00
3.500000000000000000e+02,1.146880000000000000e+05,3.772652571025594259e+00
3.510000000000000000e+02,1.150156800000000076e+05,3.230087074446836848e+00
3.520000000000000000e+02,1.153433600000000006e+05,3.065891727116807797e+00
3.530000000000000000e+02,1.156710400000000081e+05,3.720435881030452752e+00
3.540000000000000000e+02,1.159987200000000012e+05,4.158438376544200565e+00
3.550000000000000000e+02,1.163264000000000087e+05,4.228345480899242226e+00
3.560000000000000000e+02,1.166540800000000017e+05,3.479187370169162907e+00
3.570000000000000000e+02,1.169817600000000093e+05,3.062937334626777641e+00
3.580000000000000000e+02,1.173094400000000023e+05,3.717190437972325956e+00
3.590000000000000000e+02,1.176371199999999953e+05,3.774736471609868804e+00
3.600000000000000000e+02,1.179648000000000029e+05,3.658286799177395299e+00
3.610000000000000000e+02,1.182924799999999959e+05,3.197322595720974991e+00
3.620000000000000000e+02,1.186201600000000035e+05,2.696607782162363520e+00
3.630000000000000000e+02,1.189478399999999965e+05,3.251034384572386582e+00
3.640000000000000000e+02,1.192755200000000041e+05,3.354566066020975512e+00
3.650000000000000000e+02,1.196031999999999971e+05,3.292777135907145603e+00
3.660000000000000000e+02,1.199308800000000047e+05,3.145411277226058733e+00
3.670000000000000000e+02,1.202585599999999977e+05,2.724222696763655360e+00
3.680000000000000000e+02,1.205862400000000052e+05,2.727871692112696422e+00
3.690000000000000000e+02,1.209139199999999983e+05,3.051048380224369083e+00
3.700000000000000000e+02,1.212416000000000058e+05,2.746143507131507899e+00
3.710000000000000000e+02,1.215692799999999988e+05,2.222973994401036268e+00
3.720000000000000000e+02,1.218969600000000064e+05,1.965359802405061806e+00
3.730000000000000000e+02,1.222246399999999994e+05,1.479022694095586843e+00
3.740000000000000000e+02,1.225523200000000070e+05,2.084115175975375767e+00
3.750000000000000000e+02,1.228800000000000000e+05,2.379346712161408028e+00
3.760000000000000000e+02,1.232076800000000076e+05,2.041505014633951287e+00
3.770000000000000000e+02,1.235353600000000006e+05,2.031670446958046661e+00
3.780000000000000000e+02,1.238630400000000081e+05,1.204150659120823752e+00
3.790000000000000000e+02,1.241907200000000012e+05,1.186542810793337344e+00
3.800000000000000000e+02,1.245184000000000087e+05,2.107273613330669981e+00
