elapsed_ms,actual_interval_ms,encoder,delta_counts,command_speed_hz,reference_speed_hz,actual_speed_hz,position_error_arcsec
1111842,83.42060699942522,16568830,-29.0,59.42,59.42,53.04503272381474,280.2845653734283
1111925,83.42666799944709,16568803,-27.0,59.42,59.42,49.383166626075784,280.49651695098396
1112009,83.41249800287187,16568770,-33.0,59.42,59.42,60.36745705004102,280.4765125431626
1112092,83.39960399825941,16568734,-36.0,59.42,59.42,65.86558927323738,280.3404427712038
1112175,83.41769800244947,16568702,-32.0,59.42,59.42,58.53449108433347,280.35914038476557
1112259,83.41329599716119,16568667,-35.0,59.42,59.42,64.02547828893798,280.261900359698
1112342,83.4265730009065,16568633,-34.0,59.42,59.42,62.186280637389096,280.2034838397092
1112426,83.407450998493,16568593,-40.0,59.42,59.42,73.17710290787184,279.9130368527709
1112509,83.41044600092573,16568560,-33.0,59.42,59.42,60.368942165458684,279.89300158142953
1112593,83.42897500187973,16568525,-35.0,59.42,59.42,64.0134458292778,279.7959973793723
1112676,83.41758399910759,16568492,-33.0,59.42,59.42,60.36377642726825,279.77606946843093
1112759,83.41112799826078,16568453,-39.0,59.42,59.42,71.34453012671264,279.5243015959116
1112843,83.39599000100861,16568420,-33.0,59.42,59.42,60.379406618520875,279.5040488963929
1112926,83.68162199985818,16568384,-36.0,59.42,59.42,65.64361363011474,279.3722208690656
1113010,83.89219799937564,16568347,-37.0,59.42,59.42,67.29769975948201,279.20493623972754
1113094,83.79780200266396,16568307,-40.0,59.42,59.42,72.8362257616968,278.92036040025835
1113178,83.89627799988375,16568269,-38.0,59.42,59.42,69.11319526902057,278.71451332711854
1113262,83.89015899956576,16568230,-39.0,59.42,59.42,70.93713738706592,278.4699504101926
1113346,83.89290199920652,16568189,-41.0,59.42,59.42,74.57250096896365,278.1481811302382
1113430,83.87298000161536,16568150,-39.0,59.42,59.42,70.95166684503624,277.9033598293726
1113514,83.80463199864607,16568117,-33.0,59.42,59.42,60.0849889861261,277.88925338643975
